author name,identifier,country of citizenship,educated at,field of work,occupation,religion or worldview,sex or gender
,,,Pontifical Gregorian University,,,,
Paul V,Q132711,Papal States,University of Padua,,Latin Catholic priest,Catholic Church,male
,,,University of Bologna,,,,
,,,University of Perugia,,,,
Thomas Aquinas,Q9438,,University of Paris,philosophy,theologian,Catholicism,male
,,,University of Naples Federico II,theology,professor,,
,,,,,Latin Catholic priest,,
,,,,,philosopher,,
,,,,,writer,,
,,,,,Catholic theologian,,
,,,,,Catholic friar,,
Jerome,Q44248,Ancient Rome,,,cleric,Catholic Church,male
,,,,,theologian,Eastern Orthodoxy,
,,,,,historian,,
,,,,,apologist,,
,,,,,Bible translator,,
,,,,,anchorite,,
,,,,,poet,,
,,,,,writer,,
,,,,,biblical scholar,,
Clement VIII,Q170395,Papal States,University of Padua,,diplomat,Catholic Church,male
,,,University of Bologna,,cleric,,
,,,University of Perugia,,Catholic priest,,
Pius V,Q131945,Papal States,University of Bologna,,cleric,Catholic Church,male
,,,,,Catholic priest,,
Luis de Granada,Q608713,Spain,University of Valladolid,,theologian,Catholic Church,male
,,,,,presbyter,,
,,,,,writer,,
Luis de Granada,Q608713,Spain,University of Valladolid,,theologian,Catholic Church,male
,,,,,presbyter,,
,,,,,writer,,
